"CnBio_ID","CnBio_Age","CnBio_Ethnicity","CnBio_Gender","CnPrAl_Date_graduated","CnMem_1_01_Date_Joined","Days_to_membership","CnPrAl_Degree","Degree_level","CnPrAlAttrCat_1_01_Description","CnPrAlAttrCat_1_02_Description","CnPrBs_Industry","CnAdrPrf_City","CnAdrPrf_County","CnAdrPrf_State","CnAdrPrf_ContryLongDscription","CnSmryEdu_Total_Educations","CnMem_1_01_Consecutive_Years","CnMem_1_01_Standing","CnMem_1_01_Total_Years","CnMem_1_01_Last_Dropped_Date","CnMem_1_01_Cur_Expires_on","Type_membership","CnMem_1_01_AtrCat_1_01_Description","CnGf_1_01_Fnds_1_01_Description","CnGf_1_01_Apls_1_01_Ap_Description","CnGf_1_01_Pks_1_01_Package_ID","CnGf_1_01_Pks_1_01_Description","CnGf_1_01_Pks_1_01_Description.1","Membership_desc","Gdate","Gmonth","Gyear","Mdate","Mmonth","Myear","degree_full","stateF","state","Ethnicity","Age","one","Same_day","Same_classroom_same_day","surv","dtm","cens","group","GraduationPeriod","time","Gender","Same_city_members","Same_degree_year_members"
200516404,34,"White or Caucasian","Male","5/1/2005","10/26/2005",178,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","Hermosa Beach","Los Angeles","CA","United States",1,0,"Dropped",1,"6/12/2007","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2005-10-26,"10","2005","BS in Business Admin_ELLER-Eller College of Management","California","California","Caucasian",34,1,,,2005-10-26,178,1,"Dropped","Fall",178,"Male",0,3
2006257,33,"White or Caucasian","Female","8/1/2005","12/20/2005",141,"Bachelor of Fine Arts","Bachelors","FA-College of Fine Arts",,"","Cleveland","Cuyahoga","OH","United States",1,10,"Active",10,"","12/31/2016","Annual","","","","","","","Paid",2005-08-01,"Fall",2005,2005-12-20,"12","2005","Bachelor of Fine Arts_FA-College of Fine Arts","others","others","Caucasian",33,1,,,2005-12-20,141,1,"Active","Fall",141,"Female",0,0
200614788,33,"White or Caucasian","Female","12/1/2005","1/19/2006",49,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","Tucson","Pima","AZ","United States",1,0,"Dropped",8,"6/16/2014","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-01-19,"01","2006","BS in Business Admin_ELLER-Eller College of Management","Arizona","Arizona","Caucasian",33,1,,,2006-01-19,49,1,"Dropped","Spring",49,"Female",3,4
200518396,39,"Asian","Male","5/1/2005","1/25/2006",269,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","APO","","AP","United States",1,0,"Dropped",1,"6/12/2007","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-01-25,"01","2006","BS in Business Admin_ELLER-Eller College of Management","others","others","others",39,1,,,2006-01-25,269,1,"Dropped","Fall",269,"Male",0,5
200515423,34,"White or Caucasian","Male","5/1/2005","1/27/2006",271,"Bachelor of Fine Arts","Bachelors","FA-College of Fine Arts - Art",,"","Bellevue","King","WA","United States",1,0,"Dropped",2,"4/1/2008","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-01-27,"01","2006","Bachelor of Fine Arts_FA-College of Fine Arts - Art","others","others","Caucasian",34,1,,,2006-01-27,271,1,"Dropped","Fall",271,"Male",0,0
200614492,33,"White or Caucasian","Male","12/1/2005","1/30/2006",60,"Bachelor of Science","Bachelors","CALS-Norton School of Family & Consumer Sciences",,"","Wheat Ridge","Jefferson","CO","United States",1,0,"Dropped",3,"2/16/2009","","Dropped","","UAAA Memberships","","PreREOth","Pre-RE ""Other"" Categorization","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-01-30,"01","2006","Bachelor of Science_CALS-Norton School of Family & Consumer Sciences","others","others","Caucasian",33,1,,,2006-01-30,60,1,"Dropped","Spring",60,"Male",0,0
200516128,34,"White or Caucasian","Male","5/1/2005","2/16/2006",291,"Bachelor of Science","Bachelors","CALS-College of Agriculture & Life Sciences",,"","Tucson","Pima","AZ","United States",1,10,"Active",10,"","","Life","","","","","","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-02-16,"02","2006","Bachelor of Science_CALS-College of Agriculture & Life Sciences","Arizona","Arizona","Caucasian",34,1,,,2006-02-16,291,1,"Active","Fall",291,"Male",4,0
200512779,40,"White or Caucasian","Female","5/1/2005","2/19/2006",294,"MS in Applied Biosciences","Masters","SCI-College of Science",,"","Castro Valley","Alameda","CA","United States",1,0,"Dropped",1,"6/12/2007","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-02-19,"02","2006","MS in Applied Biosciences_SCI-College of Science","California","California","Caucasian",40,1,,,2006-02-19,294,1,"Dropped","Fall",294,"Female",0,0
200518347,32,"White or Caucasian","Female","5/1/2005","2/20/2006",295,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","Tucson","Pima","AZ","United States",1,0,"Dropped",1,"6/12/2007","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-02-20,"02","2006","BS in Business Admin_ELLER-Eller College of Management","Arizona","Arizona","Caucasian",32,1,,,2006-02-20,295,1,"Dropped","Fall",295,"Female",5,6
200614201,36,"Hispanic/Latino","Female","12/1/2005","2/22/2006",83,"Bachelor of Arts","Bachelors","FA-College of Fine Arts",,"","Los Angeles","Los Angeles","CA","United States",1,0,"Dropped",2,"5/6/2008","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-02-22,"02","2006","Bachelor of Arts_FA-College of Fine Arts","California","California","Hispanic",36,1,,,2006-02-22,83,1,"Dropped","Spring",83,"Female",0,0
200518485,32,"White or Caucasian","Female","5/1/2005","2/22/2006",297,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","Tucson","Pima","AZ","United States",1,0,"Dropped",2,"5/6/2008","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-02-22,"02","2006","BS in Business Admin_ELLER-Eller College of Management","Arizona","Arizona","Caucasian",32,1,,,2006-02-22,297,1,"Dropped","Fall",297,"Female",6,7
200618250,33,"Asian","Female","12/1/2005","2/25/2006",86,"Bachelor of Science","Bachelors","SCI-College of Science",,"","Mesa","Maricopa","AZ","United States",3,1,"Active",10,"3/16/2009","6/30/2017","Annual","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-02-25,"02","2006","Bachelor of Science_SCI-College of Science","Arizona","Arizona","others",33,1,,,2006-02-25,86,1,"Active","Spring",86,"Female",0,0
200518961,33,"White or Caucasian","Female","5/1/2005","3/3/2006",306,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Atlanta","Dekalb","GA","United States",1,6,"Active",10,"4/15/2009","","Life","","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-03-03,"03","2006","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","others","others","Caucasian",33,1,,,2006-03-03,306,1,"Active","Fall",306,"Female",0,5
200516939,53,"Hispanic/Latino","Female","5/1/2005","3/6/2006",309,"BS in Education","Bachelors","EDUC-College of Education",,"","Tucson","Pima","AZ","United States",1,0,"Dropped",7,"11/15/2013","","Dropped","","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-03-06,"03","2006","BS in Education_EDUC-College of Education","Arizona","Arizona","Hispanic",53,1,,,2006-03-06,309,1,"Dropped","Fall",309,"Female",7,0
200518432,33,"White or Caucasian","Female","5/1/2005","3/7/2006",310,"Bachelor of Science","Bachelors","CALS-Norton School of Family & Consumer Sciences",,"","Los Angeles","Los Angeles","CA","United States",1,0,"Dropped",5,"4/15/2011","","Dropped","","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-03-07,"03","2006","Bachelor of Science_CALS-Norton School of Family & Consumer Sciences","California","California","Caucasian",33,1,,,2006-03-07,310,1,"Dropped","Fall",310,"Female",1,1
200514417,42,"White or Caucasian","Male","5/1/2005","3/7/2006",310,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","San Marcos","San Diego","CA","United States",1,0,"Dropped",4,"5/15/2010","","Dropped","","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-03-07,"03","2006","BS in Business Admin_ELLER-Eller College of Management","California","California","Caucasian",42,1,,,2006-03-07,310,1,"Dropped","Fall",310,"Male",1,8
200618221,32,"White or Caucasian","Female","12/1/2005","3/14/2006",103,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","Roseville","Placer","CA","United States",2,0,"Dropped",2,"5/30/2008","","Dropped","","UAAA Memberships","","ALUM_Mbr_SP06_GM","SP06 - Graduation Mailing","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-03-14,"03","2006","BS in Business Admin_ELLER-Eller College of Management","California","California","Caucasian",32,1,,,2006-03-14,103,1,"Dropped","Spring",103,"Female",1,9
200513284,42,"White or Caucasian","Female","5/1/2005","3/14/2006",317,"Doctor of Philosophy","Doctorate","ENGR-College of Engineering",,"","Tucson","Pima","AZ","United States",1,0,"Dropped",2,"5/30/2008","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","SCI_College Circle/College of Science","Bundled_offer",2005-05-01,"Fall",2005,2006-03-14,"03","2006","Doctor of Philosophy_ENGR-College of Engineering","Arizona","Arizona","Caucasian",42,1,,,2006-03-14,317,1,"Dropped","Fall",317,"Female",8,0
200513886,37,"Hispanic/Latino","Female","5/1/2005","3/19/2006",322,"Master of Business Administration","Masters","ELLER-Eller College of Management",,"","Phoenix","Maricopa","AZ","United States",1,0,"Dropped",3,"4/15/2009","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-03-19,"03","2006","Master of Business Administration_ELLER-Eller College of Management","Arizona","Arizona","Hispanic",37,1,,,2006-03-19,322,1,"Dropped","Fall",322,"Female",1,0
200518210,33,"White or Caucasian","Male","5/1/2005","3/21/2006",324,"Bachelor of Science","Bachelors","SBS-College of Social & Behavioral Sciences",,"","La Jolla","San Diego","CA","United States",1,10,"Active",10,"","3/31/2017","Annual","","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-03-21,"03","2006","Bachelor of Science_SBS-College of Social & Behavioral Sciences","California","California","Caucasian",33,1,,,2006-03-21,324,1,"Active","Fall",324,"Male",0,0
200616339,37,"Hispanic/Latino","Female","12/1/2005","3/24/2006",113,"Bachelor of Science","Bachelors","CALS-Norton School of Family & Consumer Sciences",,"","Oak Harbor","Island","WA","United States",1,0,"Dropped",8,"3/15/2015","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-03-24,"03","2006","Bachelor of Science_CALS-Norton School of Family & Consumer Sciences","others","others","Hispanic",37,1,,,2006-03-24,113,1,"Dropped","Spring",113,"Female",0,2
200518736,33,"White or Caucasian","Male","5/1/2005","3/24/2006",327,"BS in Health Sciences","Bachelors","MED-College of Medicine",,"","Burlington","Kit Carson","CO","United States",1,0,"Dropped",1,"6/18/2007","","Dropped","","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-03-24,"03","2006","BS in Health Sciences_MED-College of Medicine","others","others","Caucasian",33,1,,,2006-03-24,327,1,"Dropped","Fall",327,"Male",0,0
200616195,41,"White or Caucasian","Female","12/1/2005","3/26/2006",115,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Las Vegas","Clark","NV","United States",1,0,"Dropped",1,"6/18/2007","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-03-26,"03","2006","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","others","others","Caucasian",41,1,,,2006-03-26,115,1,"Dropped","Spring",115,"Female",0,6
200617381,35,"White or Caucasian","Female","12/1/2005","3/29/2006",118,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Aston","Delaware","PA","United States",1,0,"Dropped",2,"5/30/2008","","Dropped","","UAAA Memberships","","ALUM_Mbr_SP06_GM","SP06 - Graduation Mailing","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-03-29,"03","2006","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","others","others","Caucasian",35,1,,,2006-03-29,118,1,"Dropped","Spring",118,"Female",0,7
200518222,32,"White or Caucasian","Female","5/1/2005","3/31/2006",334,"Bachelor of Science","Bachelors","CALS-Norton School of Family & Consumer Sciences",,"","Austin","Travis","TX","United States",1,0,"Dropped",3,"4/15/2009","","Dropped","","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-03-31,"03","2006","Bachelor of Science_CALS-Norton School of Family & Consumer Sciences","others","others","Caucasian",32,1,,,2006-03-31,334,1,"Dropped","Fall",334,"Female",1,3
200514994,36,"White or Caucasian","Female","5/1/2005","4/18/2006",352,"Master of Education","Masters","EDUC-College of Education",,"","Tucson","Pima","AZ","United States",1,0,"Dropped",2,"6/13/2008","","Dropped","","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-04-18,"04","2006","Master of Education_EDUC-College of Education","Arizona","Arizona","Caucasian",36,1,,,2006-04-18,352,1,"Dropped","Fall",352,"Female",9,0
200518236,33,"White or Caucasian","Male","5/1/2005","4/21/2006",355,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","Rancho Cucamonga","San Bernardino","CA","United States",1,0,"Dropped",8,"12/15/2014","","Dropped","OCCats, Orange County CA","UAAA Memberships","","ALUM_Mbr_SP06_SCH","SP06 - Scholarship","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-04-21,"04","2006","BS in Business Admin_ELLER-Eller College of Management","California","California","Caucasian",33,1,,,2006-04-21,355,1,"Dropped","Fall",355,"Male",0,10
200618575,33,"White or Caucasian","Male","8/1/2005","4/24/2006",266,"BS in Business Admin","Bachelors","ELLER-Eller College of Management",,"","New York","New York","NY","United States",1,0,"Active",9,"6/13/2008","10/31/2018","Annual","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-08-01,"Fall",2005,2006-04-24,"04","2006","BS in Business Admin_ELLER-Eller College of Management","others","others","Caucasian",33,1,,,2006-04-24,266,1,"Active","Fall",266,"Male",1,11
20061035,31,"","Female","5/1/2006","5/2/2006",1,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Phoenix","Maricopa","AZ","United States",1,0,"Dropped",5,"6/15/2011","","Dropped","","UAAA Memberships","","ALUM_Mbr_Staff","Staff","Grad Fest form returns (all semesters)","Bundled_offer",2006-05-01,"Fall",2006,2006-05-02,"05","2006","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","Arizona","Arizona","others",31,1,,,2006-05-02,1,1,"Dropped","Fall",1,"Female",2,0
200512873,33,"","Male","5/1/2005","5/7/2006",371,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Brooklyn","Kings","NY","United States",1,4,"Active",9,"11/15/2010","3/31/2018","Annual","BayCats, Northern California","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-05-07,"05","2006","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","others","others","others",33,1,,,2006-05-07,371,1,"Active","Fall",371,"Male",0,8
200515593,34,"White or Caucasian","Male","5/1/2005","5/11/2006",375,"Bachelor of Science","Bachelors","SBS-College of Social & Behavioral Sciences",,"","San Francisco","San Francisco","CA","United States",1,5,"Active",9,"6/30/2008","10/31/2017","Annual","BayCats, Northern California","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2005-05-01,"Fall",2005,2006-05-11,"05","2006","Bachelor of Science_SBS-College of Social & Behavioral Sciences","California","California","Caucasian",34,1,,,2006-05-11,375,1,"Active","Fall",375,"Male",0,1
200613269,32,"White or Caucasian","Female","5/1/2006","5/12/2006",11,"Bachelor of Science","Bachelors","CALS-Norton School of Family & Consumer Sciences",,"","Chandler","Maricopa","AZ","United States",1,0,"Dropped",1,"10/1/2007","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2006-05-01,"Fall",2006,2006-05-12,"05","2006","Bachelor of Science_CALS-Norton School of Family & Consumer Sciences","Arizona","Arizona","Caucasian",32,1,,,2006-05-12,11,1,"Dropped","Fall",11,"Female",0,0
200616880,33,"White or Caucasian","Female","5/1/2006","5/13/2006",12,"Bachelor of Arts","Bachelors","FA-College of Fine Arts - Art",,"","Phoenix","Maricopa","AZ","United States",1,0,"Dropped",1,"10/1/2007","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2006-05-01,"Fall",2006,2006-05-13,"05","2006","Bachelor of Arts_FA-College of Fine Arts - Art","Arizona","Arizona","Caucasian",33,1,,,2006-05-13,12,1,"Dropped","Fall",12,"Female",3,0
200618518,32,"","Male","5/1/2006","5/15/2006",14,"Bachelor of Science","Bachelors","CALS-Norton School of Family & Consumer Sciences",,"","Tucson","Pima","AZ","United States",1,9,"Active",9,"","5/31/2016","Annual","","UAAA Memberships","","ALUM_Mbr_PreREAA","Pre-RE Alumnus Acquisitions","Grad Fest form returns (all semesters)","Bundled_offer",2006-05-01,"Fall",2006,2006-05-15,"05","2006","Bachelor of Science_CALS-Norton School of Family & Consumer Sciences","Arizona","Arizona","others",32,1,,,2006-05-15,14,1,"Active","Fall",14,"Male",10,1
200650,32,"White or Caucasian","Female","5/1/2006","5/16/2006",15,"Bachelor of Fine Arts","Bachelors","FA-College of Fine Arts - Art",,"","Phoenix","Maricopa","AZ","United States",2,0,"Dropped",1,"10/1/2007","","Dropped","","","","","","SP08 - Parent Campaign (Lifelong) <3008>","Paid",2006-05-01,"Fall",2006,2006-05-16,"05","2006","Bachelor of Fine Arts_FA-College of Fine Arts - Art","Arizona","Arizona","Caucasian",32,1,,,2006-05-16,15,1,"Dropped","Fall",15,"Female",4,0
200617002,33,"White or Caucasian","Female","12/1/2005","5/19/2006",169,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Torrance","Los Angeles","CA","United States",1,0,"Dropped",1,"10/1/2007","","Dropped","","UAAA Memberships","","ALUM_Mbr_PreREAA","Pre-RE Alumnus Acquisitions","Grad Fest form returns (all semesters)","Bundled_offer",2005-12-01,"Spring",2005,2006-05-19,"05","2006","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","California","California","Caucasian",33,1,,,2006-05-19,169,1,"Dropped","Spring",169,"Female",0,9
200616406,37,"White or Caucasian","Male","5/1/2006","5/24/2006",23,"Master of Business Administration","Masters","ELLER-Eller College of Management",,"","Hereford","Cochise","AZ","United States",2,0,"Dropped",9,"11/15/2015","","Dropped","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2006-05-01,"Fall",2006,2006-05-24,"05","2006","Master of Business Administration_ELLER-Eller College of Management","Arizona","Arizona","Caucasian",37,1,,,2006-05-24,23,1,"Dropped","Fall",23,"Male",0,0
200618076,32,"White or Caucasian","Female","5/1/2006","6/19/2006",49,"Bachelor of Arts","Bachelors","SBS-College of Social & Behavioral Sciences",,"","Urbana","Champaign","IL","United States",1,9,"Active",9,"","6/30/2016","Annual","","UAAA Memberships","","PreREOSU","Pre-RE Online Sign Ups","Grad Fest form returns (all semesters)","Bundled_offer",2006-05-01,"Fall",2006,2006-06-19,"06","2006","Bachelor of Arts_SBS-College of Social & Behavioral Sciences","others","others","Caucasian",32,1,,,2006-06-19,49,1,"Active","Fall",49,"Female",0,1
