CnBio_ID,CnBio_Age,CnBio_Ethnicity,CnBio_Gender,CnPrAl_Date_graduated,CnMem_1_01_Date_Joined,Days_to_membership,CnPrAl_Degree,Degree_level,CnPrAlAttrCat_1_01_Description,CnPrAlAttrCat_1_02_Description,CnPrBs_Industry,CnAdrPrf_City,CnAdrPrf_County,CnAdrPrf_State,CnAdrPrf_ContryLongDscription,CnSmryEdu_Total_Educations,CnMem_1_01_Consecutive_Years,CnMem_1_01_Standing,CnMem_1_01_Total_Years,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Cur_Expires_on,Type_membership,CnMem_1_01_AtrCat_1_01_Description,CnGf_1_01_Fnds_1_01_Description,CnGf_1_01_Apls_1_01_Ap_Description,CnGf_1_01_Pks_1_01_Package_ID,CnGf_1_01_Pks_1_01_Description,CnGf_1_01_Pks_1_01_Description,Membership_desc
20129725,30,White or Caucasian,Female,5/17/2014,5/27/2014,10,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),2008 Fall Alumnus Magazine,Bundled_offer
201130152,24,White or Caucasian,Female,5/17/2014,5/27/2014,10,BA in Education,Bachelors,EDUC-College of Education,,,Laramie,Albany,WY,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),Young Alumni campaign - National,Bundled_offer
200951060,24,White or Caucasian,Female,5/17/2014,5/27/2014,10,BA in Education,Bachelors,EDUC-College of Education,,,Phoenix,Maricopa,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),SP11 - Last Chance Bear Down Campaign,Bundled_offer
201210562,25,White or Caucasian,Female,5/17/2014,5/27/2014,10,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),,Bundled_offer
200950869,23,White or Caucasian,Female,5/17/2014,5/28/2014,11,BA in Education,Bachelors,EDUC-College of Education,,Education,Glencoe,Cook,IL,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),"BayCats, Northern California",Bundled_offer
20129812,24,Mexican or Mex Amer or Chicano,Female,5/17/2014,5/29/2014,12,BA in Education,Bachelors,EDUC-College of Education,,,San Luis,Yuma,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),"MetroplexCats, Dallas/Fort Worth TX",Bundled_offer
200895860,26,White or Caucasian,Female,5/12/2012,5/25/2012,13,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,6/15/2013,,Dropped,,UAAA Memberships,,ALUM Mbr Pgrad_SP12,SP12 Parent Grad Gift Campaign form2089,SP15 Grad Fest form returns,Paid
20123242,23,White or Caucasian,Female,5/17/2014,5/30/2014,13,BA in Education,Bachelors,EDUC-College of Education,,,Oro Valley,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),,Bundled_offer
201212158,28,2 or More Races,Female,5/17/2014,5/30/2014,13,BA in Education,Bachelors,EDUC-College of Education,,,Englewood,Montgomery,OH,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),,Bundled_offer
200894378,26,White or Caucasian,Female,5/17/2014,6/1/2014,15,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),Pre-RE Online Sign Ups,Bundled_offer
201129553,23,White or Caucasian,Female,5/17/2014,6/2/2014,16,BA in Education,Bachelors,EDUC-College of Education,,,Phoenix,Maricopa,AZ,United States,2,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),Homecoming 2008,Bundled_offer
201131345,23,White or Caucasian,Female,5/17/2014,6/2/2014,16,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),SP13 Temp Card Decal campaign to never members,Bundled_offer
20088616,30,White or Caucasian,Male,12/1/2008,1/5/2009,35,BA in Education,Bachelors,EDUC-College of Education,,,Green Valley,Pima,AZ,United States,1,0,Dropped,1,2/15/2010,,Dropped,,UAAA Memberships,,ALUM_Mbr_N999,Not Specified,SP12 Parent Grad Gift Campaign form2089,Paid
200713484,30,,Female,5/1/2007,8/21/2007,112,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,9/15/2008,,Dropped,,UAAA Memberships,,2007SprC,2007Spr - Commencement,Grad Fest form returns (all semesters),Bundled_offer
200819026,43,White or Caucasian,Female,12/1/2007,3/24/2008,114,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,2,Active,8,10/15/2013,11/30/2016,Annual,,UAAA Memberships,,,,Grad Fest form returns (all semesters),Bundled_offer
20109078,40,Hispanic/Latino,Male,12/17/2011,4/29/2012,134,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,3,5/15/2015,,Dropped,,UAAA Memberships,,ALUM Mbr Unspecified,"Online, not specified",Phoenix Young Alumni Club,Paid
20088336,30,White or Caucasian,Female,5/1/2008,9/23/2008,145,BA in Education,Bachelors,EDUC-College of Education,,,Billings,Yellowstone,MT,United States,2,0,Dropped,5,11/15/2013,,Dropped,,UAAA Memberships,,ALUM_Mbr_DIPL_GR08,GR08 (SP09) May08 grads Diploma Campaign <2017>,Grad Fest form returns (all semesters),Bundled_offer
200614310,46,White or Caucasian,Female,5/1/2006,10/17/2006,169,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,2,11/15/2008,,Dropped,,UAAA Memberships,,PreREOSU,Pre-RE Online Sign Ups,Grad Fest form returns (all semesters),Bundled_offer
200867957,39,African American or Black,Female,12/1/2007,6/3/2008,185,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,3,7/17/2011,,Dropped,,UAAA Memberships,,ALUM_Mbr_N999,Not Specified,Grad Fest form returns (all semesters),Bundled_offer
200618034,32,White or Caucasian,Female,12/1/2005,6/29/2006,210,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,10/1/2007,,Dropped,,,,,,Grad Fest form returns (all semesters),Bundled_offer
200916949,25,White or Caucasian,Female,5/11/2013,1/7/2014,241,BA in Education,Bachelors,EDUC-College of Education,,,Brooklyn,Kings,NY,United States,1,0,Dropped,1,2/15/2015,,Dropped,"MetroCats, New York City NY",UAAA Memberships,,ALUM Mbr NYC,"MetroCats, New York City NY",Not Specified,Paid
200834733,37,White or Caucasian,Female,5/1/2008,1/13/2009,257,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,2/15/2010,,Dropped,,UAAA Memberships,,ALUM_Mbr_DIPL_GR08,GR08 (SP09) May08 grads Diploma Campaign <2017>,Grad Fest form returns (all semesters),Bundled_offer
20085538,30,White or Caucasian,Female,12/1/2007,9/16/2008,290,BA in Education,Bachelors,EDUC-College of Education,,,Phoenix,Maricopa,AZ,United States,1,0,Dropped,1,10/16/2009,,Dropped,,UAAA Memberships,,ALUM_Mbr_INV_GR07,GR07 (F08) 2007 Grads Invitation Campaign <2016>,Grad Fest form returns (all semesters),Bundled_offer
20086921,31,White or Caucasian,Female,5/1/2008,3/10/2009,313,BA in Education,Bachelors,EDUC-College of Education,,,Tempe,Maricopa,AZ,United States,1,0,Dropped,2,4/15/2011,,Dropped,,UAAA Memberships,,ALUM_Mbr_CH09,SP09 - CH09 Chapter Mail Campaign,Grad Fest form returns (all semesters),Bundled_offer
20089438,29,White or Caucasian,Female,12/1/2008,2/4/2010,430,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,1,Active,6,3/15/2011,8/31/2017,Annual,"CactusCats, Tucson AZ",UAAA Memberships,,ALUM_Mbr_N999,Not Specified,"Online, not specified",Paid
200515798,34,White or Caucasian,Male,5/1/2005,7/26/2006,451,BA in Education,Bachelors,SBS-College of Social & Behavioral Sciences,,,Tucson,Pima,AZ,United States,1,0,Dropped,7,5/15/2014,,Dropped,,UAAA Memberships,,PreREOSU,Pre-RE Online Sign Ups,Grad Fest form returns (all semesters),Bundled_offer
200833599,26,White or Caucasian,Female,8/8/2013,11/11/2014,460,BA in Education,Bachelors,EDUC-College of Education,,,Anthem,Maricopa,AZ,United States,1,0,Dropped,1,12/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 14-15,ALUM Mbr Unspecified,"Online, not specified",W10_Eller Business Grad Campaign,Paid
2008100269,34,Hispanic/Latino,Female,5/17/2014,8/21/2015,461,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Active,0,,8/31/2016,Annual,"CactusCats, Tucson AZ",UAAA Memberships,,ALUM Mbr Tucson,"CactusCats, Tucson AZ","Online, not specified",Paid
20083887,30,Hispanic/Latino,Male,5/1/2009,8/13/2010,469,BA in Education,Bachelors,SBS-College of Social & Behavioral Sciences,,,Phoenix,Maricopa,AZ,United States,1,0,Dropped,4,9/15/2014,,Dropped,Phoenix Young Alumni Club,UAAA Memberships,,ALUM_Mbr_PYAC,Phoenix Young Alumni Club,Grad Fest form returns (all semesters),Bundled_offer
20093713,27,White or Caucasian,Female,5/14/2011,9/26/2012,501,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,3,10/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 12-13,ALUM Mbr Unspecified,"Online, not specified","Pre-RE ""Other"" Categorization",Paid
20078453,30,White or Caucasian,Female,5/1/2007,10/19/2008,537,BA in Education,Bachelors,EDUC-College of Education,,,Ypsilanti,Washtenaw,MI,United States,1,0,Dropped,1,11/15/2009,,Dropped,,UAAA Memberships,,ALUM_Mbr_INV_GR07,GR07 (F08) 2007 Grads Invitation Campaign <2016>,Grad Fest form returns (all semesters),Bundled_offer
200517116,33,Hispanic/Latino,Female,5/1/2005,11/27/2006,575,BA in Education,Bachelors,EDUC-College of Education,,,Colton,San Bernardino,CA,United States,1,0,Dropped,1,1/31/2008,,Dropped,,UAAA Memberships,,PreREOSU,Pre-RE Online Sign Ups,Grad Fest form returns (all semesters),Bundled_offer
200819651,61,White or Caucasian,Female,5/15/2010,12/13/2011,577,BA in Education,Bachelors,EDUC-College of Education,,,Alpharetta,Fulton,GA,United States,1,0,Dropped,1,1/15/2013,,Dropped,,UAAA Memberships,,ALUM Mbr Invoice_F11,Invoice campaign to May 2010 grads,Not Specified,Paid
200516785,33,White or Caucasian,Female,5/1/2005,12/1/2006,579,BA in Education,Bachelors,EDUC-College of Education,,,Mesa,Maricopa,AZ,United States,1,0,Dropped,3,1/15/2010,,Dropped,,UAAA Memberships,,PreREOth,"Pre-RE ""Other"" Categorization",Grad Fest form returns (all semesters),Bundled_offer
200815216,28,White or Caucasian,Female,5/14/2011,5/8/2013,725,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,6/16/2014,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 12-13,ALUM Mbr Unspecified,"Online, not specified",Gift of Student Membership_UA affiliate,Paid
200615594,57,Hispanic/Latino,Female,5/1/2006,5/7/2008,737,BA in Education,Bachelors,EDUC-College of Education,,,Douglas,Cochise,AZ,United States,1,0,Dropped,1,6/15/2009,,Dropped,,UAAA Memberships,,ALUM_Mbr_SP08_BIO,SP08 - Bio Update <2011>,W08 - Dec08 Parent Grad Gift Campaign,Paid
200824854,27,Hispanic/Latino,Female,12/18/2010,4/5/2013,839,BA in Education,Bachelors,EDUC-College of Education,,,Scottsdale,Maricopa,AZ,United States,1,1,Active,3,5/15/2014,8/31/2017,Annual,"ZonaCats, Phoenix Chapter, Phoenix AZ",,,,,SP11 Parent Grad Gift Campaign form2070,Paid
200869396,27,White or Caucasian,Female,5/15/2010,11/15/2012,915,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,2,Active,3,12/15/2013,3/31/2017,Annual,,UAAA Memberships,ALUM Memberships - Acquisition 12-13,ALUM Mbr HC2012,HC2012 Membership Give-Away,SCI_College Circle/College of Science,Bundled_offer
200839045,31,,Female,5/1/2007,5/4/2010,1099,BA in Education,Bachelors,EDUC-College of Education,,,Danville,Contra Costa,CA,United States,1,0,Dropped,5,11/15/2015,,Dropped,"BayCats, Northern California",,,,,Grad Fest form returns (all semesters),Bundled_offer
200518838,33,White or Caucasian,Female,5/1/2005,10/6/2008,1254,BA in Education,Bachelors,EDUC-College of Education,,,Spring,Montgomery,TX,United States,1,0,Dropped,4,11/16/2012,,Dropped,,,,,,Grad Fest form returns (all semesters),Bundled_offer
200613610,32,White or Caucasian,Female,5/1/2007,10/12/2010,1260,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,2,0,Dropped,1,11/15/2011,,Dropped,,UAAA Memberships,,ALUM_Mbr_YngAlumNAT,Young Alumni campaign - National,Grad Fest form returns (all semesters),Bundled_offer
20079530,33,Hispanic/Latino,Female,12/1/2006,6/1/2010,1278,BA in Education,Bachelors,EDUC-College of Education,,,Marana,Pinal,AZ,United States,1,0,Dropped,4,12/15/2014,,Dropped,,UAAA Memberships,,ALUM_Mbr_College,SP10 and F10 College Campaign,SP06 - Graduation Mailing,Paid
200814609,32,American Indian,Female,5/15/2010,1/15/2014,1341,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,2/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Call,Call In_not specified,"Online, not specified",Paid
2006867,32,Hispanic/Latino,Female,5/1/2006,4/1/2010,1431,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Dropped,4,5/15/2014,,Dropped,,UAAA Memberships,,ALUM_Mbr_PCI,PCI 2009-2010 Print Directory,Grad Fest form returns (all semesters),Bundled_offer
20083195,46,Hispanic/Latino,Female,12/1/2009,2/24/2014,1546,BA in Education,Bachelors,HUM-College of Humanities,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,3/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Last_SP14,SP14 Last Chance 2009 New Grad campaign,Gift of Student Membership_UA affiliate,Paid
200817639,28,White or Caucasian,Female,5/1/2009,2/21/2014,1757,BA in Education,Bachelors,EDUC-College of Education,,,Castle Pines,Douglas,CO,United States,1,0,Dropped,1,3/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Last_SP14,SP14 Last Chance 2009 New Grad campaign,Grad Fest form returns (all semesters),Bundled_offer
200839219,30,White or Caucasian,Female,5/1/2007,10/27/2014,2736,BA in Education,Bachelors,EDUC-College of Education,,,Simi Valley,Ventura,CA,United States,1,1,Active,1,,10/31/2017,Annual,"SoCalCats, Los Angeles CA",UAAA Memberships,,ALUM Mbr Los Angeles,"SoCalCats, Los Angeles CA",Grad Fest form returns (all semesters),Bundled_offer
20079539,31,Hispanic/Latino,Female,12/1/2006,11/14/2014,2905,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,3,0,Dropped,1,12/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 14-15,ALUM Mbr HC2014,Homecoming 2014,Pre-RE Online Sign Ups,Paid
200513639,39,White or Caucasian,Female,5/1/2005,6/6/2013,2958,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,2,0,Dropped,1,7/15/2014,,Dropped,,UAAA Memberships,,ALUM Mbr Science,SCI_College Circle/College of Science,Grad Fest form returns (all semesters),Bundled_offer
200614432,33,White or Caucasian,Female,12/1/2005,9/12/2014,3207,BA in Education,Bachelors,HUM-College of Humanities,,,Frederick,Frederick,MD,United States,1,0,Dropped,1,10/15/2015,,Dropped,"CapitolCats, Washington DC",UAAA Memberships,,ALUM Mbr Wash DC,"CapitolCats, Washington DC",Grad Fest form returns (all semesters),Bundled_offer
200618101,34,White or Caucasian,Female,5/1/2006,9/3/2015,3412,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,0,Active,0,,9/30/2016,Annual,,,,,,Grad Fest form returns (all semesters),Bundled_offer
200515751,33,Hispanic/Latino,Male,5/1/2005,1/14/2016,3910,BA in Education,Bachelors,HUM-College of Humanities,,,Tucson,Pima,AZ,United States,1,0,Active,0,,,Life,,UAAA Memberships,ALUM Memberships - Acquisition 15-16,ALUM Mbr Walk In,Walk in_not specified,Grad Fest form returns (all semesters),Bundled_offer
2007592,31,African American or Black,Female,12/1/2006,,,BA in Education,Bachelors,EDUC-College of Education,,,Green Valley,Pima,AZ,United States,1,,,,,,,,,,,,,
200839032,41,White or Caucasian,Female,5/1/2007,,,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,,,,,,,,,,,,,
200839255,33,Hispanic/Latino,Male,5/1/2007,,,BA in Education,Bachelors,HUM-College of Humanities,,,Tucson,Pima,AZ,United States,2,,,,,,,,,,,,,
200835259,31,Hispanic/Latino,Female,12/1/2007,,,BA in Education,Bachelors,EDUC-College of Education,,,Red Rock,Pinal,AZ,United States,1,,,,,,,,,,,,,
20086188,30,White or Caucasian,Female,5/1/2008,,,BA in Education,Bachelors,EDUC-College of Education,,,Ottumwa,Wapello,IA,United States,1,,,,,,,,,,,,,
20089184,29,White or Caucasian,Female,12/1/2008,,,BA in Education,Bachelors,SBS-College of Social & Behavioral Sciences,,,Tucson,Pima,AZ,United States,1,,,,,,,,,,,,,
20087086,31,White or Caucasian,Male,5/1/2009,,,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,2,,,,,,,,,,,,,
200811574,29,White or Caucasian,Female,5/1/2009,,,BA in Education,Bachelors,EDUC-College of Education,,,Colorado Springs,El Paso,CO,United States,1,,,,,,,,,,,,,
200811891,29,Hispanic/Latino,Female,12/1/2009,,,BA in Education,Bachelors,HUM-College of Humanities,,,Tucson,Pima,AZ,United States,2,,,,,,,,,,,,,
200811206,29,White or Caucasian,Male,5/15/2010,,,BA in Education,Bachelors,EDUC-College of Education,,,Peoria,Maricopa,AZ,United States,1,,,,,,,,,,,,,
200818049,28,White or Caucasian,Female,5/15/2010,,,BA in Education,Bachelors,EDUC-College of Education,,,Colorado Spgs,El Paso,CO,United States,1,,,,,,,,,,,,,
200918952,33,White or Caucasian,Female,12/18/2010,,,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,,,,,,,,,,,,,
200877521,28,White or Caucasian,Female,12/18/2010,,,BA in Education,Bachelors,EDUC-College of Education,,,Tucson,Pima,AZ,United States,1,,,,,,,,,,,,,
200823508,27,Hispanic/Latino,Male,5/14/2011,,,BA in Education,Bachelors,HUM-College of Humanities,,,Litchfield Pk,Maricopa,AZ,United States,1,,,,,,,,,,,,,
200827472,26,White or Caucasian,Female,12/17/2011,,,BA in Education,Bachelors,EDUC-College of Education,,,El Cajon,San Diego,CA,United States,1,,,,,,,,,,,,,
200825946,27,White or Caucasian,Female,12/17/2011,,,BA in Education,Bachelors,EDUC-College of Education,,,Buffalo Grove,Lake,IL,United States,1,,,,,,,,,,,,,
200896783,25,White or Caucasian,Female,5/11/2013,,,BA in Education,Bachelors,EDUC-College of Education,,,Richmond,Fort Bend,TX,United States,1,,,,,,,,,,,,,
200916500,25,Hispanic/Latino,Female,5/11/2013,,,BA in Education,Bachelors,EDUC-College of Education,,,Laguna Hills,Orange,CA,United States,1,,,,,,,,,,,,,
201145395,37,White or Caucasian,Male,5/11/2013,,,BA in Education,Bachelors,EDUC-College of Education,,,Pahoa,Hawaii,HI,United States,1,,,,,,,,,,,,,
200812994,28,White or Caucasian,Male,5/17/2014,5/25/2014,8,Bachelor of Applied Science,Bachelors,UAUS-University South,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),"Online, not specified",Bundled_offer
201218763,25,Mexican or Mex Amer or Chicano,Female,5/17/2014,6/1/2014,15,Bachelor of Applied Science,Bachelors,UAUS-University South,,,Rio Rico,Santa Cruz,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),,Bundled_offer
201210868,27,Mexican or Mex Amer or Chicano,Female,5/17/2014,6/4/2014,18,Bachelor of Applied Science,Bachelors,UAUS-University South,,,Tucson,Pima,AZ,United States,1,0,Dropped,1,7/15/2015,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Grad Fest,Grad Fest form returns (all semesters),,Bundled_offer
20123514,63,Hispanic/Latino,Female,5/11/2013,8/2/2013,83,Bachelor of Applied Science,Bachelors,UAUS-University South,,,Hereford,Cochise,AZ,United States,1,2,Active,2,,8/31/2016,Annual,"HuachuCats, Sierra Vista AZ",UAAA Memberships,,ALUM Mbr SV,"HuachuCats, Sierra Vista AZ",Not Specified,Paid
200816214,50,Asian,Male,5/1/2009,9/19/2009,141,Bachelor of Applied Science,Bachelors,UAUS-University South,,,Sierra Vista,Cochise,AZ,United States,1,6,Active,6,,9/30/2017,Annual,,UAAA Memberships,,ALUM_Mbr_DIPL_GR09,GR09 (F09) May09 grads Diploma Campaign <2031>,Grad Fest form returns (all semesters),Bundled_offer
201147934,31,White or Caucasian,Male,5/11/2013,11/22/2013,195,Bachelor of Applied Science,Bachelors,UAUS-University South,,,Monument,El Paso,CO,United States,1,0,Dropped,1,12/15/2014,,Dropped,,UAAA Memberships,ALUM Memberships - Acquisition 13-14,ALUM Mbr Diploma_F13,F13 Diploma_May 2013 grads,"Online, not specified",Paid
20089747,54,African American or Black,Male,12/1/2009,8/18/2010,260,Bachelor of Applied Science,Bachelors,UAUS-University South,,,Sierra Vista,Cochise,AZ,United States,1,5,Active,5,,8/31/2016,Annual,"CactusCats, Tucson AZ",UAAA Memberships,,ALUM_Mbr_INV_GR09,INV_GR09 - 2009 Grads campaign,Call In_not specified,Paid
